1618,9697,13878,6464,5257,1586,6024,1406,4136,292,2270,28648,8464,28565,618,8616,245,21734,11179,28055,3700,2301,1234,976,1579,1012
5322,967,257,352,5502,85,59,136,5591,177,30,8771,167,91,4123,135,8,4058,867,318,2852,83,57,0,418,7
16552,345,2328,451,11171,130,312,14064,7651,29,3777,3497,832,576,16482,1863,134,5673,1467,7573,5427,113,20,38,2820,115
6899,1106,1134,1549,14025,700,960,780,12603,221,111,2486,1033,1409,6068,1113,72,3897,2161,726,6699,372,623,17,1374,53
13281,3956,12305,17097,5734,3560,3786,2416,4720,523,737,13937,10474,26325,5672,10254,828,44711,25095,14488,5870,2718,2087,3348,989,420
2171,70,55,49,3226,1785,43,71,4065,15,21,2503,60,40,3738,63,8,1746,225,867,2661,12,89,1,576,5
5170,543,420,319,7886,343,1347,1858,5564,50,82,4244,768,2201,3432,397,20,5004,1145,456,3675,51,383,1,1717,18
9621,531,409,276,12496,365,228,292,10518,60,131,1472,842,868,10583,507,38,3326,820,1935,2024,59,441,4,6488,22
15453,3265,26658,10794,4054,4357,4552,369,458,109,2053,10389,5315,33772,15406,5245,294,4604,24431,17102,1797,5234,121,503,82,4615
795,3,0,4,612,0,2,8,200,4,3,2,3,5,595,2,0,10,3,2,905,0,1,0,8,0
1525,401,234,138,5013,254,107,413,2579,44,140,866,269,509,694,228,12,372,780,307,440,20,318,1,479,15
18055,1077,2023,1987,24043,875,961,738,21579,83,594,11685,1744,1349,13438,3146,113,610,2365,3194,5241,1005,368,24,14082,84
14450,3048,866,398,12655,377,291,460,11620,71,77,501,2633,986,8968,5580,48,325,1246,533,2714,208,167,21,2380,57
14282,1798,10445,10756,22514,2636,13599,1673,16014,494,1589,1833,2107,3181,12823,3600,423,2331,8467,21137,2751,1313,981,112,1418,463
2618,3392,8212,5661,1806,1554,7731,832,4170,126,1125,12542,12540,29862,4732,11488,238,19870,11075,9141,13032,3781,2651,1373,621,519
8698,258,293,123,11291,178,130,13286,6905,36,82,5034,243,425,8842,2208,13,9860,2534,3367,2602,32,219,1,1497,6
2,0,0,0,2,0,0,0,5,0,0,0,0,1,2,1,3,1,1,1,3715,0,0,0,0,0
24719,2863,5300,4498,24517,1566,2467,2136,23774,231,1356,2280,5542,3176,22854,3828,160,4467,5600,6606,4394,1340,1088,12,6106,105
8056,1237,8814,1250,12466,1064,974,8507,12994,189,1197,3113,7032,2225,6978,8624,806,1004,17231,23491,8274,495,1185,59,2170,107
15541,1009,2283,887,30067,958,490,12541,32339,119,141,2562,1318,963,15896,1741,79,15072,2282,3965,5548,235,989,7,5601,198
2782,3322,2935,2370,2006,568,1419,77,2622,57,335,9798,6019,19229,676,3137,23,9004,14631,5525,44,267,31,244,87,145
3218,0,3,3,10717,0,2,1,4224,0,4,11,2,5,1545,1,0,37,16,2,286,15,0,0,82,3
3101,198,90,170,2141,117,41,952,2308,10,104,384,117,570,2221,85,5,474,302,115,129,3,97,0,119,11
825,57,486,43,566,48,25,148,1455,8,10,65,66,26,602,649,13,40,145,818,184,19,30,2,599,3
3114,1260,3994,2537,1949,1046,1527,1174,2229,216,175,3709,3081,2377,2300,5645,149,2744,5449,3088,2307,498,669,188,54,202
1685,30,17,15,3615,13,17,18,709,3,14,131,9,7,1404,6,2,11,25,19,82,3,15,0,335,275
